rankdate	announceddate	effectivedate	effectiveunconddate	withdrawndate	targfindate	targetname	targetbusdescpt	tarprimsiccode	tarindustrysector	hightechindustry	targetstate	targetnation	acquirorname	Acquirorbusidespt	acqindustrysector	acqprimsiccode	hightechindustry	acquirorstate	acquirornation	synopsis	histfilevent	status	pctshsacq	pctownedafter	pctsought	valueoftransaction	targnetdebtrankval	enterprisevalue	equityvalue	pricepershare	targnetsalesltm	ebitlast12months	pretaxinclast12month	netincomelast12month	targnetassets	targtotalassets	targtebitdatltm	targbvpersh	targetcommonequity	targpsltm	offerpricetoeps	targetadvisors	targtotalfees	acquiroradvisors	acquirortotalfees	targandacqfinanadvtotfees	targshspri1dprior	targshspri1wkprior	targshspri4wkprior	acquirorcusip	targetcusip	targticker	targsedol	acquirorticker	announced_date	dealnumber	reltdealnumber	transactioncompadealno	rltdealcode	rltdaelno	competingdealcode
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	12/31/2000	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999.00	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	99999999	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	AAAAAAAA	12/31/2000	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00	1000000000000.00
1/1/2010	1/1/2010	12/23/2010	12/23/2010			AccentCare Inc	Pvd home health care services	8082.00	Health Services	Healthcare Services	California	United States	Oak Hill Capital Partners LP	Private equity firm	"Investment & Commodity Firms,Dealers,Exchanges"	6799.00	Primary Business not Hi-Tech	Connecticut	United States	US - Oak Hill Capital	Institutional buyout is	Completed	100	100	100																	Cain Brothers Co.								67133M	00459K				1/1/2010	2242511020.00	2663260116.00				
